yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
I4FM80	I4FM80	I4FM80_MICAE	unreviewed	C-phycocyanin beta chain	cpcB MICAB_2560005	Microcystis aeruginosa PCC 9717	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
I4G9Z5	I4G9Z5	I4G9Z5_MICAE	unreviewed	C-phycocyanin beta chain	cpcB MICAC_5960004	Microcystis aeruginosa PCC 9443	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
I4GDM5	I4GDM5	I4GDM5_MICAE	unreviewed	C-phycocyanin beta chain	cpcB MICAD_1460031	Microcystis aeruginosa PCC 7941	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
I4HAS2	I4HAS2	I4HAS2_MICAE	unreviewed	C-phycocyanin beta chain	cpcB MICAF_4710002	Microcystis aeruginosa PCC 9807	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
I4HBJ2	I4HBJ2	I4HBJ2_MICAE	unreviewed	ABC transporter nitrate-binding protein	nrtA MICAF_5000009	Microcystis aeruginosa PCC 9807	440	GO:0006811	ion transport [GO:0006811]
I4HIZ6	I4HIZ6	I4HIZ6_MICAE	unreviewed	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH MICAG_1590023	Microcystis aeruginosa PCC 9808	394	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287	plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
I4HRL4	I4HRL4	I4HRL4_MICAE	unreviewed	C-phycocyanin beta chain	cpcB MICAG_2520005	Microcystis aeruginosa PCC 9808	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
I4IED9	I4IED9	I4IED9_9CHRO	unreviewed	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH MICAI_270005	Microcystis sp. T1-4	394	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287	plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
I4IHM5	I4IHM5	I4IHM5_9CHRO	unreviewed	C-phycocyanin beta chain	cpcB MICAI_460009	Microcystis sp. T1-4	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
J9RBL9	J9RBL9	J9RBL9_ADIRI	unreviewed	Tubulin alpha chain (Fragment)		Adineta ricciae (Rotifer)	388	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]
J9RBR4	J9RBR4	J9RBR4_ADIVA	unreviewed	Tubulin alpha chain (Fragment)		Adineta vaga (Rotifer) (Callidina vaga)	388	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]
K0YRR0	K0YRR0	K0YRR0_9ACTO	unreviewed	PHB domain-containing protein	HMPREF9241_00911	Schaalia turicensis ACS-279-V-Col4	292	GO:0016020	membrane [GO:0016020]
K8GHW9	K8GHW9	K8GHW9_9CYAN	unreviewed	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	OsccyDRAFT_2695	Leptolyngbyaceae cyanobacterium JSC-12	448	GO:0006811	ion transport [GO:0006811]
K9ET55	K9ET55	K9ET55_9CYAN	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH Lepto7375DRAFT_1156	Leptolyngbya sp. PCC 7375	625	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0016021; GO:0030163; GO:0031676	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]
K9QXP6	K9QXP6	K9QXP6_NOSS7	unreviewed	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA Nos7524_4627	Nostoc sp. (strain ATCC 29411 / PCC 7524)	475	GO:0004373; GO:0005978; GO:0009011; GO:0033201	alpha-1,4-glucan synthase activity [GO:0033201]; glycogen (starch) synthase activity [GO:0004373]; starch synthase activity [GO:0009011]; glycogen biosynthetic process [GO:0005978]
K9S4U0	K9S4U0	K9S4U0_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH GEI7407_0725	Geitlerinema sp. PCC 7407	519	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
K9S7D3	K9S7D3	K9S7D3_9CYAN	unreviewed	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd GEI7407_1172	Geitlerinema sp. PCC 7407	359	GO:0008446; GO:0019673; GO:0070401	GDP-mannose 4,6-dehydratase activity [GO:0008446]; NADP+ binding [GO:0070401]; GDP-mannose metabolic process [GO:0019673]
K9S7V9	K9S7V9	K9S7V9_9CYAN	unreviewed	Glutamine synthetase (EC 6.3.1.2)	GEI7407_1575	Geitlerinema sp. PCC 7407	473	GO:0004356; GO:0005524; GO:0006542	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]
K9SCQ3	K9SCQ3	K9SCQ3_9CYAN	unreviewed	Phycocyanin, beta subunit	GEI7407_3511	Geitlerinema sp. PCC 7407	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9SJK3	K9SJK3	K9SJK3_9CYAN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL Pse7367_2024	Pseudanabaena sp. PCC 7367	542	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
K9ST38	K9ST38	K9ST38_9SYNE	unreviewed	Molecular chaperone of HSP90 family	Syn7502_01197	Synechococcus sp. PCC 7502	634	GO:0005524; GO:0006457; GO:0016887; GO:0051082	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]
K9T585	K9T585	K9T585_9CYAN	unreviewed	Allophycocyanin beta-18 subunit apoprotein	Ple7327_2369	Pleurocapsa sp. PCC 7327	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9T5H0	K9T5H0	K9T5H0_9CYAN	unreviewed	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33)	Ple7327_2034	Pleurocapsa sp. PCC 7327	320	GO:0015979; GO:0015995; GO:0016630	protochlorophyllide reductase activity [GO:0016630]; chlorophyll biosynthetic process [GO:0015995]; photosynthesis [GO:0015979]
K9TCC1	K9TCC1	K9TCC1_9CYAN	unreviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno Oscil6304_0802	Oscillatoria acuminata PCC 6304	432	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]
K9TI23	K9TI23	K9TI23_9CYAN	unreviewed	Hemerythrin domain-containing protein	Oscil6304_2010	Oscillatoria acuminata PCC 6304	340		
K9TTH5	K9TTH5	K9TTH5_CHRTP	unreviewed	Allophycocyanin alpha-B subunit apoprotein	Chro_0290	Chroococcidiopsis thermalis (strain PCC 7203)	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9U210	K9U210	K9U210_CHRTP	unreviewed	Phycocyanin	Chro_3401	Chroococcidiopsis thermalis (strain PCC 7203)	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9U8R2	K9U8R2	K9U8R2_CHAP6	unreviewed	SpoVT-AbrB domain-containing protein	Cha6605_0166	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	133	GO:0003677	DNA binding [GO:0003677]
K9U8Z5	K9U8Z5	K9U8Z5_CHAP6	unreviewed	Photosystem I 16 kDa polypeptide (Photosystem I reaction center subunit II)	Cha6605_0266	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	138	GO:0009538; GO:0015979	photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]
K9U962	K9U962	K9U962_CHRTP	unreviewed	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	Chro_5405	Chroococcidiopsis thermalis (strain PCC 7203)	345	GO:0006071; GO:0006094; GO:0019253; GO:0042132; GO:0046872; GO:0050278	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]
K9UBL7	K9UBL7	K9UBL7_CHAP6	unreviewed	Phycocyanin, alpha subunit	Cha6605_1302	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9UCY3	K9UCY3	K9UCY3_CHAP6	unreviewed	Carbohydrate-selective porin, OprB family	Cha6605_0807	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	525	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
K9UEI1	K9UEI1	K9UEI1_CHAP6	unreviewed	Putative membrane protein	Cha6605_1946	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	168	GO:0016021	integral component of membrane [GO:0016021]
K9UFU2	K9UFU2	K9UFU2_CHAP6	unreviewed	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	psaA Cha6605_2950	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	750	GO:0000287; GO:0009055; GO:0009522; GO:0015979; GO:0016021; GO:0016168; GO:0018298; GO:0031676; GO:0051539	integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9UHM1	K9UHM1	K9UHM1_CHAP6	unreviewed	Phycocyanin, beta subunit	Cha6605_1303 Cha6605_3629	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9UJH3	K9UJH3	K9UJH3_CHAP6	unreviewed	Phycocyanin, alpha subunit	Cha6605_3628	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9UJK8	K9UJK8	K9UJK8_CHAP6	unreviewed	Phycobilisome protein	Cha6605_4054	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	164	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9UJN4	K9UJN4	K9UJN4_CHAP6	unreviewed	Carbon dioxide concentrating mechanism/carboxysome shell protein	Cha6605_4351	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	117	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
K9UK33	K9UK33	K9UK33_CHAP6	unreviewed	Allophycocyanin beta subunit apoprotein	Cha6605_3805	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9UKE4	K9UKE4	K9UKE4_CHAP6	unreviewed	Thioredoxin	Cha6605_3698	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	107	GO:0006662; GO:0015035	protein disulfide oxidoreductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]
K9ULX0	K9ULX0	K9ULX0_CHAP6	unreviewed	Hemerythrin domain-containing protein	Cha6605_5223	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	345		
K9UN03	K9UN03	K9UN03_CHAP6	unreviewed	SpoVT-AbrB domain-containing protein	Cha6605_5158	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	128	GO:0003677	DNA binding [GO:0003677]
K9UNP8	K9UNP8	K9UNP8_CHAP6	unreviewed	Putative membrane protein	Cha6605_5889	Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)	167	GO:0016021	integral component of membrane [GO:0016021]
K9V717	K9V717	K9V717_9CYAN	unreviewed	Transketolase (EC 2.2.1.1)	Cal6303_5001	Calothrix sp. PCC 6303	670	GO:0004802; GO:0046872	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
K9V9U7	K9V9U7	K9V9U7_9CYAN	unreviewed	Glutamine synthetase I beta	Cal6303_5132	Calothrix sp. PCC 6303	724	GO:0004356; GO:0006807	glutamate-ammonia ligase activity [GO:0004356]; nitrogen compound metabolic process [GO:0006807]
K9VKK7	K9VKK7	K9VKK7_9CYAN	unreviewed	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	bipA Osc7112_3687	Oscillatoria nigro-viridis PCC 7112	596	GO:0000027; GO:0000049; GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0043022	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; ribosomal large subunit assembly [GO:0000027]
K9VMD2	K9VMD2	K9VMD2_9CYAN	unreviewed	Uncharacterized protein	Osc7112_4070	Oscillatoria nigro-viridis PCC 7112	286	GO:0019684; GO:0030077; GO:0045156	plasma membrane light-harvesting complex [GO:0030077]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; photosynthesis, light reaction [GO:0019684]
K9VMR1	K9VMR1	K9VMR1_9CYAN	unreviewed	Flavin reductase domain protein FMN-binding protein	Osc7112_4539	Oscillatoria nigro-viridis PCC 7112	160	GO:0010181	FMN binding [GO:0010181]
K9VMX0	K9VMX0	K9VMX0_9CYAN	unreviewed	Phosphoglucosamine mutase (EC 5.4.2.10)	Osc7112_4222	Oscillatoria nigro-viridis PCC 7112	477	GO:0005975; GO:0008966; GO:0046872	metal ion binding [GO:0046872]; phosphoglucosamine mutase activity [GO:0008966]; carbohydrate metabolic process [GO:0005975]
K9VPK3	K9VPK3	K9VPK3_9CYAN	unreviewed	Ribulose 1,5-bisphosphate carboxylase small subunit (EC 4.1.1.39)	Osc7112_5805	Oscillatoria nigro-viridis PCC 7112	111	GO:0016984	ribulose-bisphosphate carboxylase activity [GO:0016984]
K9VQT7	K9VQT7	K9VQT7_9CYAN	unreviewed	Glutamine synthetase (EC 6.3.1.2)	Osc7112_5312	Oscillatoria nigro-viridis PCC 7112	473	GO:0004356; GO:0005524; GO:0006542	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]
K9VSN3	K9VSN3	K9VSN3_9CYAN	unreviewed	Orange carotenoid-binding protein	Cri9333_0045	Crinalium epipsammum PCC 9333	319	GO:0016037; GO:0018298; GO:0030089; GO:0031404	phycobilisome [GO:0030089]; chloride ion binding [GO:0031404]; light absorption [GO:0016037]; protein-chromophore linkage [GO:0018298]
K9VUT6	K9VUT6	K9VUT6_9CYAN	unreviewed	Orange carotenoid-binding protein	Cri9333_0797	Crinalium epipsammum PCC 9333	176	GO:0016037; GO:0018298; GO:0030089; GO:0031404	phycobilisome [GO:0030089]; chloride ion binding [GO:0031404]; light absorption [GO:0016037]; protein-chromophore linkage [GO:0018298]
K9VVG4	K9VVG4	K9VVG4_9CYAN	unreviewed	Uncharacterized protein	Cri9333_1179	Crinalium epipsammum PCC 9333	1058	GO:0016021	integral component of membrane [GO:0016021]
K9VXC7	K9VXC7	K9VXC7_9CYAN	unreviewed	Superoxide dismutase (EC 1.15.1.1)	Cri9333_1305	Crinalium epipsammum PCC 9333	198	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
K9VXH0	K9VXH0	K9VXH0_9CYAN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES Cri9333_1354	Crinalium epipsammum PCC 9333	103	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
K9VXH7	K9VXH7	K9VXH7_9CYAN	unreviewed	Phycobiliprotein ApcE	Cri9333_1937	Crinalium epipsammum PCC 9333	1133	GO:0015979; GO:0016829; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; lyase activity [GO:0016829]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9VXL9	K9VXL9	K9VXL9_9CYAN	unreviewed	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	Cri9333_1821	Crinalium epipsammum PCC 9333	526	GO:0004617; GO:0006564; GO:0051287	NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564]
K9VXV3	K9VXV3	K9VXV3_9CYAN	unreviewed	Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase)	ahcY Cri9333_1067	Crinalium epipsammum PCC 9333	425	GO:0004013; GO:0005737; GO:0006730	cytoplasm [GO:0005737]; adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]
K9VY19	K9VY19	K9VY19_9CYAN	unreviewed	Translation initiation factor IF-2	infB Cri9333_1552	Crinalium epipsammum PCC 9333	1030	GO:0003743; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]
K9VY82	K9VY82	K9VY82_9CYAN	unreviewed	Microcompartments protein	Cri9333_1587	Crinalium epipsammum PCC 9333	102	GO:0015977; GO:0031470	carboxysome [GO:0031470]; carbon fixation [GO:0015977]
K9VYD0	K9VYD0	K9VYD0_9CYAN	unreviewed	Uncharacterized protein	Cri9333_2104	Crinalium epipsammum PCC 9333	170	GO:0009294	DNA mediated transformation [GO:0009294]
K9VZU9	K9VZU9	K9VZU9_9CYAN	unreviewed	Phycocyanin, beta subunit	Cri9333_1810	Crinalium epipsammum PCC 9333	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9W0M2	K9W0M2	K9W0M2_9CYAN	unreviewed	Transcriptional regulator, AbrB family	Cri9333_2472	Crinalium epipsammum PCC 9333	139	GO:0003677	DNA binding [GO:0003677]
K9W0R6	K9W0R6	K9W0R6_9CYAN	unreviewed	Elongation factor Ts (EF-Ts)	tsf Cri9333_2128	Crinalium epipsammum PCC 9333	220	GO:0003746; GO:0005737	cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]
K9W0W4	K9W0W4	K9W0W4_9CYAN	unreviewed	Elongation factor Tu (EF-Tu)	tuf Cri9333_3022	Crinalium epipsammum PCC 9333	409	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
K9W2F9	K9W2F9	K9W2F9_9CYAN	unreviewed	Transcriptional regulator AbrB	Cri9333_3588	Crinalium epipsammum PCC 9333	131	GO:0003677	DNA binding [GO:0003677]
K9W2L9	K9W2L9	K9W2L9_9CYAN	unreviewed	17 kDa surface antigen	Cri9333_3169	Crinalium epipsammum PCC 9333	447		
K9W333	K9W333	K9W333_9CYAN	unreviewed	Two component transcriptional regulator, LuxR family	Cri9333_3370	Crinalium epipsammum PCC 9333	239	GO:0000160; GO:0003677; GO:0006355	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
K9W3R6	K9W3R6	K9W3R6_9CYAN	unreviewed	Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen	Cri9333_4046	Crinalium epipsammum PCC 9333	145	GO:0016209; GO:0016491	antioxidant activity [GO:0016209]; oxidoreductase activity [GO:0016491]
K9W3S1	K9W3S1	K9W3S1_9CYAN	unreviewed	Photosystem II manganese-stabilizing polypeptide	Cri9333_3232	Crinalium epipsammum PCC 9333	277	GO:0009654; GO:0010207; GO:0010242; GO:0042549	photosystem II oxygen evolving complex [GO:0009654]; oxygen evolving activity [GO:0010242]; photosystem II assembly [GO:0010207]; photosystem II stabilization [GO:0042549]
K9W3T0	K9W3T0	K9W3T0_9CYAN	unreviewed	Late competence development protein ComFB	Cri9333_3243	Crinalium epipsammum PCC 9333	182		
K9W427	K9W427	K9W427_9CYAN	unreviewed	Catalase (EC 1.11.1.6)	Cri9333_4317	Crinalium epipsammum PCC 9333	229	GO:0004096	catalase activity [GO:0004096]
K9W6E6	K9W6E6	K9W6E6_9CYAN	unreviewed	Uncharacterized protein	Cri9333_4552	Crinalium epipsammum PCC 9333	283		
K9W6U4	K9W6U4	K9W6U4_9CYAN	unreviewed	Glutamine synthetase (EC 6.3.1.2)	Cri9333_4402	Crinalium epipsammum PCC 9333	473	GO:0004356; GO:0005524; GO:0006542	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]
K9WA70	K9WA70	K9WA70_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH Mic7113_0742	Microcoleus sp. PCC 7113	519	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
K9WGY9	K9WGY9	K9WGY9_9CYAN	unreviewed	Uncharacterized protein	Mic7113_3749	Microcoleus sp. PCC 7113	114		
K9WRU8	K9WRU8	K9WRU8_9NOST	unreviewed	Phycobilisome Linker polypeptide	Cylst_0758	Cylindrospermum stagnale PCC 7417	247	GO:0015979; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]
K9XEM2	K9XEM2	K9XEM2_9CHRO	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH Glo7428_2456	Gloeocapsa sp. PCC 7428	624	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0016021; GO:0030163; GO:0031676	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]
K9XKJ2	K9XKJ2	K9XKJ2_9CHRO	unreviewed	Phycocyanin, beta subunit	Glo7428_4607	Gloeocapsa sp. PCC 7428	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
K9XS53	K9XS53	K9XS53_STAC7	unreviewed	Transketolase (EC 2.2.1.1)	Sta7437_0919	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	668	GO:0004802; GO:0046872	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]
K9YEF1	K9YEF1	K9YEF1_HALP7	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH PCC7418_3220	Halothece sp. (strain PCC 7418) (Synechococcus sp. (strain PCC 7418))	515	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
