yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A6H3K182	A0A6H3K182	A0A6H3K182_9MICO	unreviewed	Dihydroxyacetone kinase subunit DhaK (EC 2.7.1.121)	dhaK E3T37_12145	Cryobacterium sp. TMT2-10	333	GO:0004371; GO:0006071; GO:0047324	glycerone kinase activity [GO:0004371]; phosphoenolpyruvate-glycerone phosphotransferase activity [GO:0047324]; glycerol metabolic process [GO:0006071]
A0A6H3K752	A0A6H3K752	A0A6H3K752_9MICO	unreviewed	Phosphoesterase	E3T42_01120	Cryobacterium sp. TMT4-10	957	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A6H3KDX6	A0A6H3KDX6	A0A6H3KDX6_9MICO	unreviewed	Integration host factor	E3T37_02800	Cryobacterium sp. TMT2-10	95	GO:0003677	DNA binding [GO:0003677]
A0A6H9FSA8	A0A6H9FSA8	A0A6H9FSA8_MICAE	unreviewed	Cell division protein SepF	ycf50 sepF NIES3787_15140	Microcystis aeruginosa NIES-3787	190	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A6H9G8I9	A0A6H9G8I9	A0A6H9G8I9_MICAE	unreviewed	Anion-transporting ATPase	NIES3787_16920	Microcystis aeruginosa NIES-3787	358		
A0A6H9H025	A0A6H9H025	A0A6H9H025_MICAE	unreviewed	Anion-transporting ATPase	NIES3804_28950	Microcystis aeruginosa NIES-3804	358		
A0A6I1I0E9	A0A6I1I0E9	A0A6I1I0E9_9BURK	unreviewed	DUF4331 domain-containing protein	GCN74_04550	Janthinobacterium sp. FT14W	503		
A0A6I1I9D3	A0A6I1I9D3	A0A6I1I9D3_9BURK	unreviewed	DUF4331 domain-containing protein	GCN75_00030	Janthinobacterium violaceinigrum	503		
A0A6I2L9D8	A0A6I2L9D8	A0A6I2L9D8_9BURK	unreviewed	TonB-dependent receptor	GJ699_23085	Duganella sp. FT80W	964	GO:0009279	cell outer membrane [GO:0009279]
A0A6I2WWB0	A0A6I2WWB0	A0A6I2WWB0_9ACTN	unreviewed	Cold-shock protein	F2843_02450 F2890_04555	Actinobacteria bacterium	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A6I2YM16	A0A6I2YM16	A0A6I2YM16_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES F2519_06100 F2687_05020 F2815_04370	Actinobacteria bacterium	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A6I3HAW0	A0A6I3HAW0	A0A6I3HAW0_9ACTN	unreviewed	Cold-shock protein (Fragment)	F2537_03335	Actinobacteria bacterium	60	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A6I4I5A4	A0A6I4I5A4	A0A6I4I5A4_9SPHI	unreviewed	OmpA family protein	GO620_013520 GO620_16115	Mucilaginibacter sp. HMF7856	442	GO:0005509; GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; calcium ion binding [GO:0005509]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A6I5EJC4	A0A6I5EJC4	A0A6I5EJC4_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES GTY58_26245	Streptomyces sp. SID5469	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A6I5NQH1	A0A6I5NQH1	A0A6I5NQH1_9CYAN	unreviewed	30S ribosomal protein S19	rpsS rps19 F6J97_22915	Leptolyngbya sp. SIO4C1	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A6J4ISD3	A0A6J4ISD3	A0A6J4ISD3_9CHLR	unreviewed	Uncharacterized protein	AVDCRST_MAG26-2179	uncultured Chloroflexia bacterium	554		
A0A6J4Q7Z1	A0A6J4Q7Z1	A0A6J4Q7Z1_9BURK	unreviewed	Outer membrane porin protein 32	AVDCRST_MAG51-2979	uncultured Ramlibacter sp.	383	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A6J6BVP1	A0A6J6BVP1	A0A6J6BVP1_9ZZZZ	unreviewed	Unannotated protein	UFOPK1380_01153 UFOPK1440_00997 UFOPK1946_01081 UFOPK3874_00329 UFOPK4095_00933	freshwater metagenome	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A6J6D604	A0A6J6D604	A0A6J6D604_9ZZZZ	unreviewed	Unannotated protein	UFOPK1591_00580	freshwater metagenome	348		
A0A6J7FXY8	A0A6J7FXY8	A0A6J7FXY8_9ZZZZ	unreviewed	Unannotated protein	UFOPK1380_01159 UFOPK2689_00959 UFOPK3555_00805	freshwater metagenome	98	GO:0005524; GO:0006457; GO:0016887	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A6J7J4I1	A0A6J7J4I1	A0A6J7J4I1_9ZZZZ	unreviewed	Unannotated protein	UFOPK3774_00449 UFOPK4049_00837	freshwater metagenome	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A6L6QM95	A0A6L6QM95	A0A6L6QM95_9BURK	unreviewed	TonB-dependent receptor	GM658_23100	Pseudoduganella eburnea	966	GO:0009279	cell outer membrane [GO:0009279]
A0A6L9XTJ6	A0A6L9XTJ6	A0A6L9XTJ6_9MICO	unreviewed	Phosphoesterase	G3T36_01800	Diaminobutyricibacter tongyongensis	957	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A6L9XWW8	A0A6L9XWW8	A0A6L9XWW8_9MICO	unreviewed	Sugar ABC transporter substrate-binding protein	G3T36_06680	Diaminobutyricibacter tongyongensis	416		
A0A6M0BC63	A0A6M0BC63	A0A6M0BC63_9CYAN	unreviewed	Cell division protein SepF	sepF F6K49_32160	Moorea sp. SIO3I6	195	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A6M0FQE1	A0A6M0FQE1	A0A6M0FQE1_9CYAN	unreviewed	Cell division protein SepF	sepF F6K01_28660	Okeania sp. SIO1I7	212	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A6M0RWC7	A0A6M0RWC7	A0A6M0RWC7_9CYAN	unreviewed	30S ribosomal protein S19	rpsS rps19 DXZ20_33880	Leptolyngbyaceae cyanobacterium CCMR0081	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A6M0S3F9	A0A6M0S3F9	A0A6M0S3F9_9CYAN	unreviewed	30S ribosomal protein S19	rpsS rps19 D0962_09090	Leptolyngbyaceae cyanobacterium CCMR0082	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A6M5Z2A8	A0A6M5Z2A8	A0A6M5Z2A8_9BACT	unreviewed	RNA-binding protein	FTUN_7517	Frigoriglobus tundricola	136	GO:0003676	nucleic acid binding [GO:0003676]
A0A6M8BCQ0	A0A6M8BCQ0	A0A6M8BCQ0_9CYAN	unreviewed	Uncharacterized protein	HPC62_01680	Thermoleptolyngbya sp. PKUAC-SCTA183	83		
A0A6M8BJP2	A0A6M8BJP2	A0A6M8BJP2_9CYAN	unreviewed	30S ribosomal protein S8	rpsH rps8 HPC62_21420	Thermoleptolyngbya sp. PKUAC-SCTA183	133	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A6N0GXK2	A0A6N0GXK2	A0A6N0GXK2_ZYGCR	unreviewed	ATP synthase subunit 9, mitochondrial	atp9	Zygnema circumcarinatum (Green alga)	73	GO:0008289; GO:0015078; GO:0015986; GO:0016021; GO:0031966; GO:0045263	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]
A0A6N8DSX5	A0A6N8DSX5	A0A6N8DSX5_RHOAC	unreviewed	30S ribosomal protein S19	rpsS GGD85_003409 GJ654_18250	Rhodoblastus acidophilus (Rhodopseudomonas acidophila)	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A6N8FWJ4	A0A6N8FWJ4	A0A6N8FWJ4_9CHRO	unreviewed	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB BWI75_10030	Gloeocapsopsis sp. AAB1 = 1H9	701	GO:0000287; GO:0005524; GO:0005887; GO:0008556	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; P-type potassium transmembrane transporter activity [GO:0008556]
A0A6N8XTJ1	A0A6N8XTJ1	A0A6N8XTJ1_9PROT	unreviewed	ABC transporter substrate-binding protein	F4X42_08760	Rhodospirillaceae bacterium	407	GO:0006865	amino acid transport [GO:0006865]
A0A6N9NLU1	A0A6N9NLU1	A0A6N9NLU1_9FLAO	unreviewed	Fasciclin domain-containing protein	GQN54_12010	Acidiluteibacter ferrifornacis	185		
A0A6P0ILT3	A0A6P0ILT3	A0A6P0ILT3_9CYAN	unreviewed	Cell division protein SepF	sepF F6K50_13025	Moorea sp. SIO3I7	195	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A6P0L2Z7	A0A6P0L2Z7	A0A6P0L2Z7_9CYAN	unreviewed	Cell division protein SepF	sepF F6J90_35865	Moorea sp. SIOASIH	195	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A6P0QMY1	A0A6P0QMY1	A0A6P0QMY1_9CYAN	unreviewed	Cell division protein SepF	sepF F6K28_35930	Microcoleus sp. SIO2G3	198	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A6P0R5I9	A0A6P0R5I9	A0A6P0R5I9_9CYAN	unreviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe F6K40_02800	Okeania sp. SIO3I5	242	GO:0004750; GO:0006098; GO:0019323; GO:0046872	metal ion binding [GO:0046872]; ribulose-phosphate 3-epimerase activity [GO:0004750]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt [GO:0006098]
A0A6P0TET5	A0A6P0TET5	A0A6P0TET5_9CYAN	unreviewed	Universal stress protein	F6K30_19470	Cyanothece sp. SIO2G6	281		
A0A6P1EXW2	A0A6P1EXW2	A0A6P1EXW2_9MICO	unreviewed	Dihydroxyacetone kinase subunit DhaK (EC 2.7.1.121)	dhaK GSU72_07670	Rathayibacter sp. VKM Ac-2760	333	GO:0004371; GO:0006071; GO:0047324	glycerone kinase activity [GO:0004371]; phosphoenolpyruvate-glycerone phosphotransferase activity [GO:0047324]; glycerol metabolic process [GO:0006071]
A0A6P1GPJ7	A0A6P1GPJ7	A0A6P1GPJ7_SPHYA	unreviewed	TonB-dependent receptor	GS397_21220	Sphingobium yanoikuyae (Sphingomonas yanoikuyae)	991	GO:0009279	cell outer membrane [GO:0009279]
A0A6P1VFJ8	A0A6P1VFJ8	A0A6P1VFJ8_9SYNC	unreviewed	Arsenic-transporting ATPase	BWK47_01205	Synechocystis sp. CACIAM 05	362		
A0A6P2ABU3	A0A6P2ABU3	A0A6P2ABU3_9CHRO	unreviewed	BON domain-containing protein	EA365_12810	Gloeocapsa sp. DLM2.Bin57	112		
A0A6P2AQI2	A0A6P2AQI2	A0A6P2AQI2_9CYAN	unreviewed	Cell division protein SepF	sepF EA366_10710	Spirulina sp. DLM2.Bin59	207	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A6P4HNF1	A0A6P4HNF1	A0A6P4HNF1_DROKI	unreviewed	outer membrane protein-like	LOC108071112	Drosophila kikkawai (Fruit fly)	340		
A0A6P4LDI2	A0A6P4LDI2	A0A6P4LDI2_DROBP	unreviewed	outer membrane protein-like	LOC108134338	Drosophila bipectinata (Fruit fly)	340		
A0A6S4QG73	A0A6S4QG73	A0A6S4QG73_9SPIR	unreviewed	Amino acid ABC transporter substrate-binding protein	COTS27_00384	Spirochaetes bacterium	357		
A0A6S7C5L8	A0A6S7C5L8	A0A6S7C5L8_9BURK	unreviewed	Ribose import binding protein RbsB	rbsB_5 LMG28138_05084	Pararobbsia alpina	317		
A0A6T3LUL4	A0A6T3LUL4	A0A6T3LUL4_9STRA		Deleted.					
A0A6T3M1A5	A0A6T3M1A5	A0A6T3M1A5_9STRA		Deleted.					
A0A6T3M1S6	A0A6T3M1S6	A0A6T3M1S6_9STRA		Deleted.					
A0A6T3M3T2	A0A6T3M3T2	A0A6T3M3T2_9STRA		Deleted.					
A0A6U0SRI8	A0A6U0SRI8	A0A6U0SRI8_9EUKA		Deleted.					
A0A7C2T749	A0A7C2T749	A0A7C2T749_9BACT	unreviewed	Fasciclin domain-containing protein	ENO60_04195	Acidobacteria bacterium	166		
A0A7C2YJJ4	A0A7C2YJJ4	A0A7C2YJJ4_SPHSX	unreviewed	Type II and III secretion system protein family protein	ENQ72_07160	Sphingomonas sp.	496	GO:0009306	protein secretion [GO:0009306]
A0A7C3VFU5	A0A7C3VFU5	A0A7C3VFU5_9CYAN	unreviewed	Uncharacterized protein	ENR15_04770	Planktothricoides sp. SpSt-374	746	GO:0019867	outer membrane [GO:0019867]
A0A7C4QGP7	A0A7C4QGP7	A0A7C4QGP7_9CHLR	unreviewed	LysM peptidoglycan-binding domain-containing protein	ENT48_18620	Chloroflexi bacterium	543		
A0A7C5M9H4	A0A7C5M9H4	A0A7C5M9H4_9BACT	unreviewed	Fasciclin domain-containing protein	ENL51_11055	Candidatus Solibacter sp.	155		
A0A7C7DF91	A0A7C7DF91	A0A7C7DF91_9FIRM	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL GX510_10395	Firmicutes bacterium	540	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A7C7X174	A0A7C7X174	A0A7C7X174_9GAMM	unreviewed	50S ribosomal protein L27	rpmA EYQ88_06830	Candidatus Thioglobus sp.	85	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A7C7ZWK0	A0A7C7ZWK0	A0A7C7ZWK0_9GAMM		Deleted.					
A0A7C7ZZR4	A0A7C7ZZR4	A0A7C7ZZR4_9GAMM		Deleted.					
A0A7C8B9W0	A0A7C8B9W0	A0A7C8B9W0_9PROT	unreviewed	PQQ-dependent dehydrogenase, methanol/ethanol family (EC 1.1.2.-)	DS843_25580	Roseomonas genomospecies 6	627	GO:0005509; GO:0016020; GO:0016614; GO:0030288	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; calcium ion binding [GO:0005509]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]
A0A7D4B8G3	A0A7D4B8G3	A0A7D4B8G3_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	GKZ68_08090	Hymenobacter sp. BRD128	1014	GO:0009279	cell outer membrane [GO:0009279]
A0A7D6EQQ9	A0A7D6EQQ9	A0A7D6EQQ9_9ACTN	unreviewed	Sugar ABC transporter substrate-binding protein	DLE04_04710	Actinobacteria bacterium IMCC26103	356		
A0A7D7X9A6	A0A7D7X9A6	A0A7D7X9A6_9BACT	unreviewed	Cold-shock protein	GOB94_04560	Granulicella sp. 5B5	66	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A7D7XD64	A0A7D7XD64	A0A7D7XD64_9BACT	unreviewed	Alcohol dehydrogenase catalytic domain-containing protein	GOB94_14830	Granulicella sp. 5B5	386	GO:0016491	oxidoreductase activity [GO:0016491]
A0A7D8YRZ0	A0A7D8YRZ0	A0A7D8YRZ0_9HELO	unreviewed	Protein rds1	rds1_3 LCER1_G009373	Lachnellula cervina	309		
A0A7G5E4I2	A0A7G5E4I2	A0A7G5E4I2_SPHMU	unreviewed	TonB-dependent receptor	HS960_15135	Sphingobacterium multivorum	1083		
A0A7G6YH06	A0A7G6YH06	A0A7G6YH06_9MICO	unreviewed	Alkaline phosphatase family protein	F1C12_15980	Leifsonia shinshuensis	565	GO:0003824	catalytic activity [GO:0003824]
A0A7G6Z4W2	A0A7G6Z4W2	A0A7G6Z4W2_9MICO	unreviewed	Sugar ABC transporter substrate-binding protein	F1C58_01855	Glaciihabitans sp. INWT7	368		
A0A7G6Z4Y4	A0A7G6Z4Y4	A0A7G6Z4Y4_9MICO	unreviewed	Sugar ABC transporter substrate-binding protein	F1C58_01980	Glaciihabitans sp. INWT7	359		
A0A7G6Z7W3	A0A7G6Z7W3	A0A7G6Z7W3_9MICO	unreviewed	Superoxide dismutase (EC 1.15.1.1)	F1C58_07870	Glaciihabitans sp. INWT7	208	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A7G6Z8D5	A0A7G6Z8D5	A0A7G6Z8D5_9MICO	unreviewed	Cold-shock protein	F1C58_08875	Glaciihabitans sp. INWT7	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A7G6ZAY5	A0A7G6ZAY5	A0A7G6ZAY5_9MICO	unreviewed	ABC transporter substrate-binding protein	F1C58_14010	Glaciihabitans sp. INWT7	423		
A0A7G6ZBR4	A0A7G6ZBR4	A0A7G6ZBR4_9MICO	unreviewed	Xanthorhodopsin	F1C58_15585	Glaciihabitans sp. INWT7	272	GO:0005216; GO:0007602; GO:0009881; GO:0016021; GO:0018298	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]; photoreceptor activity [GO:0009881]; phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]
A0A7G6ZBU3	A0A7G6ZBU3	A0A7G6ZBU3_9MICO	unreviewed	Flagellin	F1C58_15750	Glaciihabitans sp. INWT7	282	GO:0005198; GO:0005576; GO:0009288; GO:0071973	bacterial-type flagellum [GO:0009288]; extracellular region [GO:0005576]; structural molecule activity [GO:0005198]; bacterial-type flagellum-dependent cell motility [GO:0071973]
A0A7G6ZCN3	A0A7G6ZCN3	A0A7G6ZCN3_9MICO	unreviewed	Adenylyl cyclase	F1C58_12045	Glaciihabitans sp. INWT7	609		
A0A7G6ZCP9	A0A7G6ZCP9	A0A7G6ZCP9_9MICO	unreviewed	S8/S53 family peptidase	F1C58_12795	Glaciihabitans sp. INWT7	635	GO:0004252; GO:0046872	metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]
A0A7G8BGG4	A0A7G8BGG4	A0A7G8BGG4_9BACT	unreviewed	Cold-shock protein	H7849_21625	Acidobacterium sp. 4Y35	66	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A7G8VWV2	A0A7G8VWV2	A0A7G8VWV2_9BURK	unreviewed	CHRD domain-containing protein	H7F36_15440	Variovorax sp. PAMC28562	149		
A0A7G8W4X9	A0A7G8W4X9	A0A7G8W4X9_9BURK	unreviewed	Porin	H7F36_09650	Variovorax sp. PAMC28562	436	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A7G8WTR2	A0A7G8WTR2	A0A7G8WTR2_9ACTN	unreviewed	Bifunctional YncE family protein/alkaline phosphatase family protein	H7F38_13820	Nakamurella sp. PAMC28650	937	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A7G9SE20	A0A7G9SE20	A0A7G9SE20_9SPHN	unreviewed	Type II and III secretion system protein family protein	H9L12_06380	Sphingomonas rhizophila	480	GO:0009306	protein secretion [GO:0009306]
A0A7G9SL36	A0A7G9SL36	A0A7G9SL36_9SPHN	unreviewed	Type II and III secretion system protein family protein	H9L13_06310	Sphingomonas lutea	500	GO:0009306	protein secretion [GO:0009306]
A0A7H0G8V2	A0A7H0G8V2	A0A7H0G8V2_9SPHN	unreviewed	Type II and III secretion system protein family protein	H9L14_07940	Sphingomonas sediminicola	475	GO:0009306	protein secretion [GO:0009306]
A0A7H8P4N5	A0A7H8P4N5	A0A7H8P4N5_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groES groS HUT15_14240	Streptomyces sp. NA03103	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A7H8RNG2	A0A7H8RNG2	A0A7H8RNG2_9BURK	unreviewed	DUF4331 domain-containing protein	G3257_17065	Janthinobacterium lividum	499		
A0A7H9BIQ8	A0A7H9BIQ8	A0A7H9BIQ8_9NEIS	unreviewed	Phosphate-binding protein PstS	pstS HQ393_08930	Chitinibacter sp. 2T18	345	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A7J0BVC8	A0A7J0BVC8	A0A7J0BVC8_9DELT	unreviewed	50S ribosomal protein L27	rpmA DSM19430T_17990	Desulfovibrio psychrotolerans	90	GO:0005840	ribosome [GO:0005840]
A0A7J5AR95	A0A7J5AR95	A0A7J5AR95_9ACTN	unreviewed	Cold-shock protein	F6X68_08355	Micromonospora sp. AMSO12t	67		
A0A7J5WP84	A0A7J5WP84	A0A7J5WP84_9BACT	unreviewed	FAS1 domain-containing protein (Fragment)	FD183_1027	Chitinophagaceae bacterium	164		
A0A7K0J8A5	A0A7K0J8A5	A0A7K0J8A5_9ACTN	unreviewed	Dihydroxyacetone kinase subunit DhaK (EC 2.7.1.121)	dhaK FYJ43_09145	Cutibacterium porci	333	GO:0047324	phosphoenolpyruvate-glycerone phosphotransferase activity [GO:0047324]
A0A7K1DZH9	A0A7K1DZH9	A0A7K1DZH9_9ACTN	unreviewed	Substrate-binding domain-containing protein	F2547_02915	Actinobacteria bacterium	348		
A0A7K1TDU9	A0A7K1TDU9	A0A7K1TDU9_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	GO988_09440	Hymenobacter sp. HMF4947	1050		
A0A7K1TH14	A0A7K1TH14	A0A7K1TH14_9BACT	unreviewed	SusC/RagA family TonB-linked outer membrane protein	GO988_14855	Hymenobacter sp. HMF4947	1139		
A0A7K2JHP9	A0A7K2JHP9	A0A7K2JHP9_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES GTW67_06870	Streptomyces sp. SID5910	102		
A0A7K2MG65	A0A7K2MG65	A0A7K2MG65_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES GTW46_01755	Streptomyces sp. SID6013	102		
A0A7L5ABF4	A0A7L5ABF4	A0A7L5ABF4_9BACT	unreviewed	Cold-shock protein	FTO74_15585	Granulicella sp. WH15	66		
A0A7L9QBP7	A0A7L9QBP7	A0A7L9QBP7_9ZZZZ	unreviewed	Protease inhibitor		uncultured organism	375		
A3IWN9	A3IWN9	A3IWN9_9CHRO	unreviewed	Cell division protein SepF	sepF CY0110_00710	Crocosphaera chwakensis CCY0110	195	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A6EH86	A6EH86	A6EH86_9SPHI	unreviewed	Uncharacterized protein	PBAL39_16836	Pedobacter sp. BAL39	1080	GO:0030246	carbohydrate binding [GO:0030246]
A8YGY4	A8YGY4	A8YGY4_MICAE	unreviewed	Similar to tr|P72799|P72799	IPF_1785	Microcystis aeruginosa PCC 7806	358		
B4SIX0	B4SIX0	B4SIX0_STRM5	unreviewed	Alcohol dehydrogenase GroES domain protein	Smal_3396	Stenotrophomonas maltophilia (strain R551-3)	352	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
B4V4U4	B4V4U4	B4V4U4_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES M444_20985 SSAG_02772	Streptomyces sp. Mg1	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
B8IXQ5	B8IXQ5	B8IXQ5_METNO	unreviewed	Extracellular solute-binding protein family 3	Mnod_7860	Methylobacterium nodulans (strain LMG 21967 / CNCM I-2342 / ORS 2060)	341		
C5CXJ7	C5CXJ7	C5CXJ7_VARPS	unreviewed	CHRD domain containing protein	Vapar_2218	Variovorax paradoxus (strain S110)	149		
C7JEV4	C7JEV4	C7JEV4_ACEP3	unreviewed	Outer membrane protein OmpA	ompA APA01_07860	Acetobacter pasteurianus (strain NBRC 3283 / LMG 1513 / CCTM 1153)	375	GO:0009279	cell outer membrane [GO:0009279]
D2QKX8	D2QKX8	D2QKX8_SPILD	unreviewed	TonB-dependent receptor plug	Slin_1166	Spirosoma linguale (strain ATCC 33905 / DSM 74 / LMG 10896)	1084		
D4TK17	D4TK17	D4TK17_9CYAN	unreviewed	S-layer region protein-like protein	CRC_02711	Cylindrospermopsis raciborskii CS-505	537	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
D4ZW07	D4ZW07	D4ZW07_ARTPN	unreviewed	Cell division protein SepF	sepF NIES39_K03260	Arthrospira platensis (strain NIES-39 / IAM M-135) (Spirulina platensis)	205	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
D5RTP5	D5RTP5	D5RTP5_9PROT	unreviewed	Lysine-arginine-ornithine-binding periplasmic protein	aapJ5 HMPREF0731_4457	Roseomonas cervicalis ATCC 49957	338		
